code=190, textureId=0, prespace=0, width=7, advance=7, top=(310, 14), bottom=(317, 27)
code=191, textureId=0, prespace=0, width=6, advance=6, top=(317, 14), bottom=(323, 27)
code=192, textureId=0, prespace=0, width=8, advance=8, top=(323, 14), bottom=(331, 27)
code=193, textureId=0, prespace=0, width=8, advance=8, top=(331, 14), bottom=(339, 27)
code=194, textureId=0, prespace=0, width=8, advance=8, top=(339, 14), bottom=(347, 27)
code=195, textureId=0, prespace=0, width=8, advance=8, top=(347, 14), bottom=(355, 27)
code=196, textureId=0, prespace=0, width=8, advance=8, top=(355, 14), bottom=(363, 27)
code=197, textureId=0, prespace=0, width=8, advance=8, top=(363, 14), bottom=(371, 27)
code=198, textureId=0, prespace=0, width=9, advance=9, top=(371, 14), bottom=(380, 27)
code=199, textureId=0, prespace=0, width=9, advance=9, top=(380, 14), bottom=(389, 27)
code=200, textureId=0, prespace=0, width=7, advance=7, top=(389, 14), bottom=(396, 27)
code=201, textureId=0, prespace=0, width=7, advance=7, top=(396, 14), bottom=(403, 27)
code=202, textureId=0, prespace=0, width=7, advance=7, top=(403, 14), bottom=(410, 27)
code=203, textureId=0, prespace=0, width=7, advance=7, top=(410, 14), bottom=(417, 27)
code=204, textureId=0, prespace=0, width=4, advance=4, top=(417, 14), bottom=(421, 27)
code=205, textureId=0, prespace=0, width=4, advance=4, top=(421, 14), bottom=(425, 27)
code=206, textureId=0, prespace=0, width=6, advance=6, top=(425, 14), bottom=(431, 27)
code=207, textureId=0, prespace=0, width=4, advance=4, top=(431, 14), bottom=(435, 27)
code=208, textureId=0, prespace=0, width=8, advance=8, top=(435, 14), bottom=(443, 27)
code=209, textureId=0, prespace=0, width=8, advance=8, top=(443, 14), bottom=(451, 27)
code=210, textureId=0, prespace=0, width=9, advance=9, top=(451, 14), bottom=(460, 27)
code=211, textureId=0, prespace=0, width=9, advance=9, top=(460, 14), bottom=(469, 27)
code=212, textureId=0, prespace=0, width=9, advance=9, top=(469, 14), bottom=(478, 27)
code=213, textureId=0, prespace=0, width=9, advance=9, top=(478, 14), bottom=(487, 27)
code=214, textureId=0, prespace=0, width=9, advance=9, top=(487, 14), bottom=(496, 27)
code=215, textureId=0, prespace=0, width=13, advance=13, top=(496, 14), bottom=(509, 27)
code=216, textureId=0, prespace=0, width=9, advance=9, top=(1, 27), bottom=(10, 40)
code=217, textureId=0, prespace=0, width=8, advance=8, top=(10, 27), bottom=(18, 40)
code=218, textureId=0, prespace=0, width=8, advance=8, top=(18, 27), bottom=(26, 40)
code=219, textureId=0, prespace=0, width=8, advance=8, top=(26, 27), bottom=(34, 40)
code=220, textureId=0, prespace=0, width=8, advance=8, top=(34, 27), bottom=(42, 40)
code=221, textureId=0, prespace=0, width=8, advance=8, top=(42, 27), bottom=(50, 40)
code=222, textureId=0, prespace=0, width=7, advance=7, top=(50, 27), bottom=(57, 40)
code=223, textureId=0, prespace=0, width=7, advance=7, top=(57, 27), bottom=(64, 40)
code=224, textureId=0, prespace=0, width=6, advance=6, top=(64, 27), bottom=(70, 40)
code=225, textureId=0, prespace=0, width=6, advance=6, top=(70, 27), bottom=(76, 40)
code=226, textureId=0, prespace=0, width=6, advance=6, top=(76, 27), bottom=(82, 40)
code=227, textureId=0, prespace=0, width=6, advance=6, top=(82, 27), bottom=(88, 40)
code=228, textureId=0, prespace=0, width=6, advance=6, top=(88, 27), bottom=(94, 40)
code=229, textureId=0, prespace=0, width=6, advance=6, top=(94, 27), bottom=(100, 40)
code=230, textureId=0, prespace=0, width=9, advance=9, top=(100, 27), bottom=(109, 40)
